epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69987,2.36907,5.11725,2.03768,0.00111,0.33333,0.00076,0.00046,2.526,5.05806,2.3697,0,0,0
2,7.98939,2.02984,5.40806,1.88924,0.00222,0.66667,0.00201,0.00059,2.53253,4.88679,2.39606,1.901e-05,1.901e-05,1.901e-05
3,11.4306,2.16848,4.79753,1.89865,0.00222,0.66667,0.00214,0.00075,2.3822,4.8609,2.31756,3.604e-05,3.604e-05,3.604e-05
4,14.7613,1.47163,4.02794,1.29363,0.00222,0.66667,0.00228,0.00065,2.16257,5.24743,2.16395,5.109e-05,5.109e-05,5.109e-05
5,18.1515,1.848,4.63849,1.70974,0.00222,0.66667,0.00244,0.00069,2.11952,4.73501,2.04326,6.416e-05,6.416e-05,6.416e-05
6,21.8323,1.952,3.8017,1.59049,0.00333,1,0.00369,0.00112,2.06319,4.67436,1.98337,7.525e-05,7.525e-05,7.525e-05
7,25.4287,1.84253,4.18855,1.77356,0.00333,1,0.0044,0.00147,1.83017,4.56927,1.85048,8.436e-05,8.436e-05,8.436e-05
8,28.8176,1.68817,3.83693,1.46726,0.00333,1,0.00517,0.00165,1.70638,4.51201,1.76195,9.149e-05,9.149e-05,9.149e-05
9,32.149,1.63903,4.17474,1.55459,0.00333,1,0.00517,0.00165,1.70638,4.51201,1.76195,9.664e-05,9.664e-05,9.664e-05
10,35.4513,1.08912,6.75852,1.26189,0.00333,1,0.00577,0.00214,1.65528,4.39083,1.80315,9.981e-05,9.981e-05,9.981e-05
11,38.828,1.57639,4.5077,1.52838,0.00333,1,0.00577,0.00214,1.65528,4.39083,1.80315,0.000101,0.000101,0.000101
12,42.1856,1.35396,4.18808,1.38878,0.00333,1,0.00593,0.00209,1.63002,4.17734,1.83693,0.00010021,0.00010021,0.00010021
13,45.6707,1.43181,4.09693,1.29906,0.00333,1,0.00593,0.00209,1.63002,4.17734,1.83693,9.744e-05,9.744e-05,9.744e-05
14,49.539,1.79149,4.67688,1.50952,0.00333,1,0.00612,0.00255,1.53797,4.21517,1.80335,9.269e-05,9.269e-05,9.269e-05
15,52.8622,1.43224,4.21292,1.49889,0.00333,1,0.00612,0.00255,1.53797,4.21517,1.80335,8.596e-05,8.596e-05,8.596e-05
16,56.4276,1.27048,3.88791,1.19294,0.00333,1,0.00628,0.00295,1.51396,4.1855,1.79379,7.725e-05,7.725e-05,7.725e-05
17,59.6482,1.3547,4.00094,1.41281,0.00333,1,0.00628,0.00295,1.51396,4.1855,1.79379,6.656e-05,6.656e-05,6.656e-05
18,63.0003,1.8361,4.42428,1.82045,0.00333,1,0.00642,0.00301,1.49669,4.13087,1.7618,5.389e-05,5.389e-05,5.389e-05
19,66.2497,1.31325,4.01139,1.41093,0.00333,1,0.00642,0.00301,1.49669,4.13087,1.7618,3.924e-05,3.924e-05,3.924e-05
20,70.0428,1.44291,4.496,1.56107,0.00333,1,0.00652,0.00315,1.45987,4.11577,1.71904,2.261e-05,2.261e-05,2.261e-05
